inputGenes	preferredNames
13249.RPRC002232-PA	RPRC002232-PA
13249.RPRC002285-PA	RPRC002285-PA
13249.RPRC002312-PA	RPRC002312-PA
13249.RPRC002341-PA	RPRC002341-PA
13249.RPRC002359-PA	RPRC002359-PA
13249.RPRC002366-PA	RPRC002366-PA
13249.RPRC002367-PA	RPRC002367-PA
13249.RPRC002380-PA	RPRC002380-PA
13249.RPRC002393-PA	RPRC002393-PA
13249.RPRC002402-PA	RPRC002402-PA
13249.RPRC002403-PA	RPRC002403-PA
13249.RPRC002409-PA	RPRC002409-PA
13249.RPRC002442-PA	RPRC002442-PA
13249.RPRC002473-PA	RPRC002473-PA
13249.RPRC002488-PA	RPRC002488-PA
13249.RPRC002489-PA	RPRC002489-PA
13249.RPRC002496-PA	RPRC002496-PA
13249.RPRC002510-PA	RPRC002510-PA
13249.RPRC002534-PA	RPRC002534-PA
13249.RPRC002542-PA	RPRC002542-PA
13249.RPRC002545-PA	RPRC002545-PA
13249.RPRC002549-PA	RPRC002549-PA
13249.RPRC002553-PA	RPRC002553-PA
13249.RPRC002589-PA	RPRC002589-PA
13249.RPRC002594-PA	RPRC002594-PA
13249.RPRC002614-PA	RPRC002614-PA
13249.RPRC002616-PA	RPRC002616-PA
13249.RPRC002623-PA	RPRC002623-PA
13249.RPRC002629-PA	RPRC002629-PA
13249.RPRC002637-PA	RPRC002637-PA
13249.RPRC002648-PA	RPRC002648-PA
13249.RPRC002656-PA	RPRC002656-PA
13249.RPRC002657-PA	coq5
13249.RPRC002662-PA	RPRC002662-PA
13249.RPRC002676-PA	RPRC002676-PA
13249.RPRC002694-PA	RPRC002694-PA
13249.RPRC002697-PA	RPRC002697-PA
13249.RPRC002699-PA	RPRC002699-PA
13249.RPRC002701-PA	RPRC002701-PA
13249.RPRC002702-PA	RPRC002702-PA
13249.RPRC002703-PA	RPRC002703-PA
13249.RPRC002714-PA	RPRC002714-PA
13249.RPRC002733-PA	RPRC002733-PA
13249.RPRC002736-PA	RPRC002736-PA
13249.RPRC002738-PA	RPRC002738-PA
13249.RPRC002749-PA	RPRC002749-PA
13249.RPRC002752-PA	RPRC002752-PA
13249.RPRC002765-PA	RPRC002765-PA
13249.RPRC002788-PA	RPRC002788-PA
13249.RPRC002789-PA	RPRC002789-PA
13249.RPRC002793-PA	RPRC002793-PA
13249.RPRC002796-PA	RPRC002796-PA
13249.RPRC002797-PA	RPRC002797-PA
13249.RPRC002799-PA	RPRC002799-PA
13249.RPRC002801-PA	RPRC002801-PA
13249.RPRC002807-PA	RPRC002807-PA
13249.RPRC002808-PA	RPRC002808-PA
13249.RPRC002816-PA	RPRC002816-PA
13249.RPRC002826-PA	gatA
13249.RPRC002838-PA	RPRC002838-PA
13249.RPRC002846-PA	RPRC002846-PA
13249.RPRC002853-PA	RPRC002853-PA
13249.RPRC002866-PA	RPRC002866-PA
13249.RPRC002870-PA	RPRC002870-PA
13249.RPRC002885-PA	RPRC002885-PA
13249.RPRC002898-PA	RPRC002898-PA
13249.RPRC002901-PA	RPRC002901-PA
13249.RPRC002909-PA	RPRC002909-PA
13249.RPRC002913-PA	RPRC002913-PA
13249.RPRC002918-PA	RPRC002918-PA
13249.RPRC002932-PA	RPRC002932-PA
13249.RPRC002938-PA	RPRC002938-PA
13249.RPRC002940-PA	RPRC002940-PA
13249.RPRC002942-PA	RPRC002942-PA
13249.RPRC002994-PA	RPRC002994-PA
13249.RPRC003010-PA	RPRC003010-PA
13249.RPRC003079-PA	RPRC003079-PA
13249.RPRC003089-PA	RPRC003089-PA
13249.RPRC003104-PA	RPRC003104-PA
13249.RPRC003115-PA	RPRC003115-PA
13249.RPRC003133-PA	RPRC003133-PA
13249.RPRC003135-PA	RPRC003135-PA
13249.RPRC003138-PA	RPRC003138-PA
13249.RPRC003141-PA	RPRC003141-PA
13249.RPRC003153-PA	RPRC003153-PA
13249.RPRC003178-PA	RPRC003178-PA
13249.RPRC003183-PA	RPRC003183-PA
13249.RPRC003191-PA	RPRC003191-PA
13249.RPRC003204-PA	RPRC003204-PA
13249.RPRC003218-PA	RPRC003218-PA
13249.RPRC003232-PA	RPRC003232-PA
13249.RPRC003241-PA	RPRC003241-PA
13249.RPRC003262-PA	RPRC003262-PA
13249.RPRC003265-PA	RPRC003265-PA
13249.RPRC003270-PA	RPRC003270-PA
13249.RPRC003283-PA	RPRC003283-PA
13249.RPRC003294-PA	RPRC003294-PA
13249.RPRC003302-PA	RPRC003302-PA
13249.RPRC003317-PA	RPRC003317-PA
13249.RPRC003332-PA	RPRC003332-PA
13249.RPRC003335-PA	RPRC003335-PA
13249.RPRC003336-PA	RPRC003336-PA
13249.RPRC003346-PA	RPRC003346-PA
13249.RPRC003350-PA	RPRC003350-PA
13249.RPRC003351-PA	RPRC003351-PA
13249.RPRC003357-PA	RPRC003357-PA
13249.RPRC003358-PA	RPRC003358-PA
13249.RPRC003380-PA	RPRC003380-PA
13249.RPRC003384-PA	RPRC003384-PA
13249.RPRC003392-PA	RPRC003392-PA
13249.RPRC003403-PA	RPRC003403-PA
13249.RPRC003443-PA	RPRC003443-PA
13249.RPRC003474-PA	RPRC003474-PA
13249.RPRC003507-PA	RPRC003507-PA
13249.RPRC003542-PA	RPRC003542-PA
13249.RPRC003558-PA	RPRC003558-PA
13249.RPRC003568-PA	RPRC003568-PA
13249.RPRC003573-PA	RPRC003573-PA
13249.RPRC003598-PA	RPRC003598-PA
13249.RPRC003622-PA	RPRC003622-PA
13249.RPRC003627-PA	RPRC003627-PA
13249.RPRC003630-PA	RPRC003630-PA
13249.RPRC003660-PA	RPRC003660-PA
13249.RPRC003682-PA	RPRC003682-PA
13249.RPRC003683-PA	RPRC003683-PA
13249.RPRC003685-PA	RPRC003685-PA
13249.RPRC003690-PA	RPRC003690-PA
13249.RPRC003692-PA	RPRC003692-PA
13249.RPRC003694-PA	RPRC003694-PA
13249.RPRC003698-PA	RPRC003698-PA
13249.RPRC003700-PA	RPRC003700-PA
13249.RPRC003711-PA	RPRC003711-PA
13249.RPRC003718-PA	RPRC003718-PA
13249.RPRC003719-PA	RPRC003719-PA
13249.RPRC003720-PA	RPRC003720-PA
13249.RPRC003743-PA	RPRC003743-PA
13249.RPRC003762-PA	RPRC003762-PA
13249.RPRC003803-PA	RPRC003803-PA
13249.RPRC003824-PA	RPRC003824-PA
13249.RPRC003831-PA	RPRC003831-PA
13249.RPRC003833-PA	RPRC003833-PA
13249.RPRC003876-PA	RPRC003876-PA
13249.RPRC003881-PA	RPRC003881-PA
13249.RPRC003905-PA	RPRC003905-PA
13249.RPRC003924-PA	RPRC003924-PA
13249.RPRC003927-PA	RPRC003927-PA
13249.RPRC003945-PA	RPRC003945-PA
13249.RPRC003961-PA	RPRC003961-PA
13249.RPRC003979-PA	RPRC003979-PA
13249.RPRC003996-PA	RPRC003996-PA
13249.RPRC004026-PA	RPRC004026-PA
13249.RPRC004037-PA	PLA2
13249.RPRC004042-PA	RPRC004042-PA
13249.RPRC004129-PA	RPRC004129-PA
13249.RPRC004137-PA	RPRC004137-PA
13249.RPRC004161-PA	RPRC004161-PA
13249.RPRC004166-PA	RPRC004166-PA
13249.RPRC004167-PA	RPRC004167-PA
13249.RPRC004176-PA	RPRC004176-PA
13249.RPRC004184-PA	RPRC004184-PA
13249.RPRC004188-PA	RPRC004188-PA
13249.RPRC004190-PA	RPRC004190-PA
13249.RPRC004194-PA	RPRC004194-PA
13249.RPRC004231-PA	RPRC004231-PA
13249.RPRC004254-PA	RPRC004254-PA
13249.RPRC004258-PA	RPRC004258-PA
13249.RPRC004262-PA	RPRC004262-PA
13249.RPRC004263-PA	RPRC004263-PA
13249.RPRC004271-PA	RPRC004271-PA
13249.RPRC004278-PA	RPRC004278-PA
13249.RPRC004281-PA	RPRC004281-PA
13249.RPRC004289-PA	RPRC004289-PA
13249.RPRC004350-PA	RPRC004350-PA
13249.RPRC004383-PA	RPRC004383-PA
13249.RPRC004384-PA	RPRC004384-PA
13249.RPRC004386-PA	RPRC004386-PA
13249.RPRC004419-PA	RPRC004419-PA
13249.RPRC004427-PA	RPRC004427-PA
13249.RPRC004440-PA	RPRC004440-PA
13249.RPRC004443-PA	RPRC004443-PA
13249.RPRC004447-PA	RPRC004447-PA
13249.RPRC004459-PA	RPRC004459-PA
13249.RPRC004466-PA	RPRC004466-PA
13249.RPRC004484-PA	RPRC004484-PA
13249.RPRC004485-PA	RPRC004485-PA
13249.RPRC004540-PA	RPRC004540-PA
13249.RPRC004553-PA	RPRC004553-PA
13249.RPRC004566-PA	RPRC004566-PA
13249.RPRC004569-PA	RPRC004569-PA
13249.RPRC004599-PA	RPRC004599-PA
13249.RPRC004605-PA	RPRC004605-PA
13249.RPRC004614-PA	RPRC004614-PA
13249.RPRC004619-PA	RPRC004619-PA
13249.RPRC004620-PA	RPRC004620-PA
