Genes
CDK2
CDK4
CDK6
CDKN1B
RACK1
CSNK2A1
CSNK2A2
EIF2S1
AKT1
AKT2
EIF2AK1
TBK1
APAF1
HSPA8
IFNA1
IFNA5
IFNA6
IFNA7
IFNA8
IFNA13
IFNA14
IFNA16
IFNAR1
IL1A
IL1B
IL2
IL2RA
FASLG
IL2RB
IL6
IL12A
IL12B
EIF2AK4
NFKB1
NFKBIA
OAS3
RAB9B
PIK3CA
PIK3CD
PIK3R1
PIK3R2
CYCS
EIF2AK2
MAVS
BAX
CCND1
STAT3
STAT5B
MAP3K7
TLR2
TP53
TP73
TRAF3
CASP8
PIK3R3
FADD
CCND2
CCNE1
CCNE2
CD3D
CD3E
