Genes
ADCY1
ADCY8
CREBBP
EP300
RPS6KA6
GNAQ
GRIA2
GRIN2A
GRIN2C
GRIN2D
GRM1
ARAF
KRAS
NRAS
CALML5
PLCB2
PLCB4
PPP1R1A
PPP3CA
PPP3R1
PRKACG
PRKCG
MAPK1
MAPK3
MAP2K2
RAP1B
RPS6KA2
RPS6KA3
BRAF
CALM3
CAMK4
