Genes
CFL2
MAPK14
TICAM1
LY96
GNAI3
PYCARD
IRF8
TICAM2
IL1A
IL1B
IL6
CXCL8
IL10
IL12A
IL12B
IRF1
ITGA5
ITGAM
RHOA
NFKB1
NOS2
IL23A
CALML5
MAPK1
MAPK3
MAPK13
MAPK12
CXCL6
CXCL5
SFTPA1
SERPING1
C3
C4BPA
C4BPB
C5
SFTPA2
CALM3
CALML4
