Genes
GADD45G
CTNNB1
DDB2
GADD45A
EGF
EGFR
ERBB2
AKT1
AKT2
GRB2
APC
ARAF
KRAS
MLH1
GADD45B
NRAS
LEF1
POLK
PIK3CA
PIK3CD
PIK3R1
PIK3R2
MAPK1
MAPK3
MAP2K2
BAX
CCND1
SOS2
BRAF
TCF7
TP53
AXIN1
AXIN2
TCF7L1
PIK3R3
