Genes
ADCY1
CHRM3
ADCY8
ADCY9
ADORA2B
EGF
EGFR
ERBB2
ERBB3
F2R
TPCN2
FGF2
FGF3
FGF4
FGF6
FGF7
FGF8
FGF9
FGF10
FGFR1
FGFR3
FGFR4
VEGFD
FLT1
FLT4
FGF20
GDNF
FGF22
GNA11
GNA15
GNAQ
GNAS
GRIN2A
GRIN2C
GRIN2D
SLC25A4
GRM1
GRPR
HGF
HRC
HTR2B
HTR5A
HTR6
MYLK4
ITPKA
KDR
LHCGR
MST1R
NGF
NOS2
NOS3
ATP2B1
ATP2B2
NTRK1
NTRK2
ATP2B3
P2RX1
P2RX3
P2RX5
PDE1B
PDGFB
PDGFRA
PDGFRB
CALML5
PLCB2
PLCB4
PLCG1
PLCG2
TPCN1
AVPR1A
MCOLN3
PPP3CA
PPP3R1
PRKACG
PRKCG
PDGFC
CYSLTR2
CAMK1G
MCOLN1
PTGER1
PTGFR
BDKRB1
BDKRB2
SLC8A2
SLC8A3
TNNC1
TRHR
VDAC3
VEGFB
CACNA1B
CACNA1D
CACNA1E
CACNA1S
CXCR4
ITPKC
PDGFD
FGF23
CALM3
CAMK4
SLC25A31
CASQ2
CAMK1
FGF18
CCKAR
CACNA1G
PLCZ1
MYLK3
CALML4
CD38
