Genes
MAPK14
CYLD
TBK1
IFNE
IFNA1
IFNA5
IFNA6
IFNA7
IFNA8
IFNA13
IFNA14
IFNA16
CXCL8
IL12A
IL12B
CXCL10
NFKB1
NFKBIA
PIN1
RNF125
OTUD5
MAPK13
IFNK
MAVS
MAPK12
MAP3K7
TRAF2
TRAF3
DHX58
CASP8
CASP10
RIPK1
FADD
