Genes
ARPC5
ARPC3
ACTR3
ACTR2
ARPC2
VAV3
TAB1
ARPC1A
CRK
MAPK14
TICAM1
DOCK1
AKT1
AKT2
FCGR2A
PIP5K1C
FYB1
LAT
RPS6KA6
GNAQ
PYCARD
TBK1
IL1B
IL2
IL6
CXCL8
IL10
IL18
ITGA5
ARF6
RHOA
LCP2
LIMK1
MEFV
NFKB1
NFKBIA
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PLCG1
PKN1
MAPK1
MAPK3
MAPK13
MAP2K2
MAP2K6
MAP2K7
ACTR3B
PTK2
PXN
RAC2
RAC3
RPS6KA2
RPS6KA3
MAPK12
CCL2
ELMO2
WIPF3
ACTR3C
MAP3K7
ACTG1
TRAF2
VAV2
ZAP70
PIP5K1B
PIK3R3
WASL
CD4
GIT2
