Genes
CDK4
CDK6
GADD45G
DDB2
GADD45A
EGF
EGFR
AKT1
AKT2
MTOR
SHC2
GRB2
IGF1
IGF1R
ARAF
KRAS
MDM2
GADD45B
NRAS
POLK
PDGFB
PDGFRA
PDGFRB
CALML5
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PLCG1
PLCG2
PRKCG
MAPK1
MAPK3
MAP2K2
CAMK1G
BAX
RB1
CCND1
SOS2
BRAF
TP53
CALM3
CAMK4
PIK3R3
CAMK1
