Genes
FRAT1
CDK4
CDK6
GADD45G
FZD10
CSNK1A1L
CSNK1A1
CTNNB1
DDB2
GADD45A
NQO1
DVL1
DVL2
EGFR
AKT1
AKT2
GSTA5
MTOR
GAB1
SHC2
GRB2
GSTA3
GSTA4
GSTM1
GSTM2
GSTM5
GSTP1
HGF
HMOX1
APC
IGF1R
IGF2
ARAF
KRAS
LRP5
SMAD2
MGST3
GADD45B
NFE2L2
NRAS
LEF1
WNT16
ACTL6B
POLK
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PLCG1
PLCG2
WNT4
PRKCG
MAPK1
MAPK3
MAP2K2
ARID1B
BAX
RB1
CCND1
RPS6KB1
SMARCC1
SMARCD3
SOS2
BRAF
TCF7
TGFB1
TGFB3
ACTG1
TP53
WNT1
WNT2
WNT5A
WNT6
WNT7A
WNT8B
WNT10B
WNT9A
FZD3
WNT10A
WNT5B
AXIN1
AXIN2
FZD1
FZD7
TCF7L1
PIK3R3
WNT3A
