Genes
FRAT1
CDK4
CDK6
DLL3
GADD45G
FZD10
CSNK1A1L
CSNK1A1
CTNNB1
DDB2
GADD45A
JAG1
DVL1
DVL2
EGF
EGFR
ERBB2
AKT1
AKT2
FGF2
FGF3
FGF4
FGF6
FGF7
FGF8
FGF9
FGF10
FGFR1
FLT4
HEY1
HEY2
MTOR
SHC2
FGF20
FGF22
GRB2
APC
HES1
IGF1
IGF1R
ARAF
KIT
KRAS
LRP5
GADD45B
NOTCH2
NOTCH3
NRAS
LEF1
WNT16
POLK
PIK3CA
PIK3CD
PIK3R1
PIK3R2
WNT4
DLL4
MAPK1
MAPK3
MAP2K2
BAX
RB1
CCND1
RPS6KB1
SOS2
SP1
BRAF
TCF7
TP53
WNT1
WNT2
WNT5A
WNT6
WNT7A
WNT8B
WNT10B
WNT9A
FZD3
WNT10A
FGF23
WNT5B
NCOA3
AXIN1
AXIN2
FZD1
FZD7
TCF7L1
PIK3R3
TNFSF11
FGF18
WNT3A
