Genes
TFG
GADD45G
CTNNB1
DDB2
GADD45A
KRAS
GADD45B
NRAS
NTRK1
LEF1
POLK
PPARG
MAPK1
MAPK3
MAP2K2
BAX
CCND1
BRAF
TCF7
TP53
TPR
PAX8
CCDC6
TCF7L1
