Genes
CREB3
GNB5
ATF2
MAPK14
CREB3L4
AKT1
AKT2
GNAI3
GNAO1
GNAQ
GNAS
GNB1
GNB3
GNG3
GNG5
GNG11
GNGT1
GNGT2
GRIA2
GRIA4
GRIN2A
GSK3A
KCNJ3
KCNJ9
KIF5A
KIF5B
ARRB1
MAOA
MAOB
CALY
GNG13
CALML5
PLCB2
PLCB4
PPP2R3C
PPP2CA
PPP2CB
PPP2R2C
PPP2R3A
PPP2R5A
PPP2R5B
PPP2R5D
PPP3CA
PRKACG
PRKCG
MAPK13
GNB4
MAPK12
TH
CACNA1B
CACNA1D
CALM3
PPP1R1B
CREB3L3
CALML4
GNG8
