Genes
F2RL1
GNAQ
HBA1
HBA2
APOA1
ICAM1
IFNG
IL1B
FASLG
IL6
IL10
IL12A
IL12B
IL18
KNG1
LAMA4
PLCB2
PLCB4
PRKCG
VCAM1
