Genes
SDS
ADH5
GLYCTK
GOT1L1
CS
DLAT
DLD
DLST
ENO1
ENO2
ENO3
ESD
ALDOA
FH
RPIA
ALDOC
PGLS
GAPDH
PHGDH
GLUD1
AMT
GOT1
GOT2
HK1
HK2
HK3
IDH1
IDH2
IDH3A
IDH3G
ACADS
ACAT1
MDH1
MMUT
ACO2
ACOX1
PDHA1
PDHA2
PFKL
PGAM1
PGAM2
PGD
PKM
ACSS2
SDHA
SDHB
TPI1
TKTL1
TKTL2
ACSS1
MCEE
CAT
SUCLG2
RGN
