Genes
AKT1
AKT2
ATP1B4
AMY1A
AMY1B
AMY2A
HK1
HK2
HK3
LCT
ATP1A4
ATP1B1
ATP1B2
ATP1B3
FXYD2
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PLCB2
PLCB4
SI
SLC2A5
SLC5A1
CACNA1D
PIK3R3
G6PC3
