Genes
CALCRL
NMUR1
NMU
GPR83
UTS2
HRH3
PTH2
CHRM3
CHRM4
CHRNA1
CHRNA4
CHRNA5
CHRNB2
UCN3
CHRNB3
CHRNB4
CHRND
GRIN3A
GRIN3B
RXFP2
GPHB5
LYPD6
ADORA1
TAAR1
ADORA2B
CRH
ADORA3
ADRA2A
CTSG
GPHA2
F2
F2R
F2RL1
F2RL2
FSHB
GABRA2
GABRA3
GABRA4
GABRA6
GABRB1
GABRB2
GABRD
GABRE
GABRG1
GALR1
GHSR
P2RY10
GLRA1
GLRA2
GLRB
GNRH1
GNRH2
GNRHR
PRLHR
GPR35
MLNR
GRIA2
GRIA4
GRID2
GRIK2
GRIK5
GRIN2A
GRIN2C
GRIN2D
NR3C1
GRM1
GRP
GRPR
GZMA
HCRT
HCRTR2
TAAR6
HTR2B
HTR5A
HTR6
IAPP
INSL3
KNG1
NPSR1
LEP
LEPR
LHCGR
PATE2
MC1R
MC3R
MC4R
MLN
MTNR1B
NMBR
NPY2R
NTS
OPRD1
OXT
P2RX1
P2RX3
P2RX5
PRLH
GAL
PLG
PNOC
AVP
AVPR1A
PRL
PRLR
PRSS3
NMUR2
CHRNA10
CYSLTR2
SLURP1
PTGER1
PTGER2
PTGFR
PTGIR
PTH2R
HRH4
RLN1
BDKRB1
BDKRB2
SCTR
NPFFR1
SST
SSTR1
SSTR2
SSTR4
SSTR5
BRS3
THRA
THRB
C3
C3AR1
TRHR
TSHB
C5
C5AR1
UCN
VGF
VIPR2
ADM2
GLRA3
SPX
TAAR8
MCHR2
KISS1R
GALR3
NPFF
S1PR4
CCK
CCKAR
CHRNA6
F2RL3
UCN2
TAAR5
GPR50
GLP2R
GABBR2
