Genes
CDK5
SEMA3A
MYL9
SEMA3C
CFL2
GDF7
DPYSL2
EFNA1
EFNA2
EFNA3
EFNB1
EFNB3
EPHA3
EPHA4
EPHA7
EPHA8
EPHB3
EPHB4
SEMA3D
NTNG1
ABLIM3
NGEF
GNAI3
EPHA6
KRAS
RHOA
ABLIM1
LIMK1
NRAS
NTN3
PAK1
PAK2
PARD6A
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PLCG1
PLCG2
PLXNA2
WNT4
SSH1
PPP3CA
PPP3R1
ENAH
PRKCZ
MAPK1
MAPK3
DPYSL5
SEMA3G
PTK2
SEMA6A
LRRC4C
SEMA4G
RAC2
RAC3
RASA1
ROBO1
RRAS
SEMA3F
LRRC4
ROBO3
SHH
BMP7
BMPR1B
SLIT1
SMO
TRPC5
TRPC6
WNT5A
CXCR4
FZD3
WNT5B
NCK2
PARD6B
PIK3R3
UNC5C
NRP1
SEMA5A
BOC
SLIT2
NTN1
LRIG2
SRGAP3
