Genes
CFTR
SEC61B
KDELR2
ADCY9
ATP6V0D2
ATP6V1C2
GNAS
SEC61A1
ATP6V1D
ATP6V1A
ATP6V1B1
ATP6V1B2
ATP6V1E1
PLCG1
PLCG2
ATP6V0A1
ATP6AP1
SEC61A2
PRKACG
SLC12A2
ACTG1
ATP6V0E1
ATP6V0D1
TJP2
