Genes
ADH1A
ADH5
GALM
LDHAL6A
DLAT
DLD
ENO1
ENO2
ENO3
ALDH2
ALDH3A1
ALDH1B1
ALDOA
ALDOC
GAPDH
GAPDHS
HK1
HK2
HK3
PDHA1
PDHA2
PFKL
PGAM1
PGAM2
PGM1
PKM
ACSS2
BPGM
TPI1
ACSS1
G6PC3
