Genes
HDAC5
CDK2
CDK4
CDK6
CDKN1B
CDKN2B
CREB3
CHD4
CCR3
CCR4
CCR5
ATF2
CREBBP
CREB3L4
DDB1
EGR2
EP300
ATP6V0D2
H2BC1
KAT2A
GRB2
GSN
GTF2A1
GTF2E1
H2BC5
HDAC2
HPN
IL6ST
KRAS
RHOA
TBPL2
LTBR
MDM2
NFKB1
NFKBIA
NRAS
HDAC7
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PKM
POLB
PRKACG
VAC14
MAPK1
MAPK3
EIF2AK2
PSMC1
BAX
PXN
RASA2
RB1
RBL2
CCND1
REL
SKP2
SP100
SRF
STAT3
STAT5B
TBP
TP53
C3
TRAF2
TRAF3
TRAF5
GTF2H2C_2
VDAC3
YWHAH
YWHAZ
HDAC11
H2BC13
H2BC21
HDAC10
CASP8
CREB3L3
PIK3R3
SCIN
KAT2B
CCNA1
CCND2
CCNE1
ATP6V0D1
CCNE2
TBPL1
CDK1
