Genes
HCN4
MYL9
VAV3
CREB3
ADCY1
CFTR
ADCY8
ADCY9
GRIN3A
GRIN3B
GPHB5
CNGB1
CNGA3
ADORA1
CREBBP
CRH
GPR119
CREB3L4
GPHA2
EP300
AKT1
AKT2
F2R
RRAS2
ATP1B4
FSHB
AMH
GHSR
GLI1
GNAI3
GNAS
GRIA2
GRIA4
GRIN2A
GRIN2C
GRIN2D
HTR6
HCAR2
RHOA
LHCGR
LIPE
AFDN
NFKB1
NFKBIA
ATP1A4
ATP1B1
ATP1B2
ATP1B3
FXYD2
ATP2B1
ATP2B2
ATP2B3
OXT
PAK1
ACOX1
PDE3B
PDE4A
CALML5
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PLD2
PRKACG
ADCY10
MAPK1
MAPK3
MAP2K2
PTGER2
RAC2
RAC3
RAP1B
HCN2
RRAS
BDNF
HHIP
ARAP3
SLC9A1
SOX9
BRAF
SST
SSTR1
SSTR2
SSTR5
TIAM1
TNNI3
TSHB
VAV2
VIPR2
CACNA1D
CACNA1S
CALM3
CAMK4
PPP1R1B
CREB3L3
PIK3R3
CALML4
GABBR2
