Genes
CPSF6
PSIP1
CCR5
CHMP4B
CREBBP
APOBEC3D
EP300
ELL2
TNPO3
KAT2A
AFF4
VPS4A
MAP1A
MAP1B
MLLT1
PIN1
RANBP2
SUPT4H1
BST2
TSG101
CXCR4
ELL
TRIM5
KAT2B
CCNT1
CCNT2
CD4
VPS4B
