Genes
TCIRG1
CORO1A
CR1
CR1L
CREBBP
MAPK14
CTSD
CYP27B1
EP300
AKT1
AKT2
FCER1G
FCGR2A
FCGR3B
PLA2R1
ATP6V0D2
CLEC4E
APAF1
HSPA9
HSPD1
IFNA1
IFNA5
IFNA6
IFNA7
IFNA8
IFNA13
IFNA14
IFNA16
IFNG
IFNGR1
IL1A
IL1B
IL6
IL10
IL10RA
IL10RB
IL12A
IL12B
IL18
IRAK2
ITGAM
ITGAX
RHOA
LBP
NFKB1
NFYB
NOS2
IL23A
CALML5
PIK3C3
ATP6V0A1
ATP6AP1
CYCS
PPP3CA
PPP3R1
MAPK1
MAPK3
MAPK13
BAX
RAB5A
RFX5
RFXAP
MAPK12
NOD2
TGFB1
TGFB3
TLR1
TLR2
TNFRSF1A
C3
VDR
RAB7A
CALM3
CAMP
CASP8
EEA1
CASP10
RIPK2
FADD
BCL10
ATP6V0D1
CALML4
CD74
