Genes
PLA2G4B
ADCY1
ADCY8
ADCY9
COL1A1
COL1A2
MAPK14
AKT1
AKT2
F2
F2R
FCER1G
FCGR2A
FGA
FGG
GNAI3
GNAQ
GNAS
PLA2G4D
GUCY1A2
GUCY1A1
MYLK4
ITGA2
ITGA2B
ITGB3
RHOA
LCP2
NOS3
P2RX1
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PLA2G4A
PLCB2
PLCB4
PLCG2
PRKACG
PRKCI
PRKCZ
PRKG2
MAPK1
MAPK3
MAPK13
PTGIR
RAP1B
MAPK12
P2RY12
ACTG1
VASP
VWF
FERMT3
PIK3R3
VAMP8
SNAP23
F2RL3
MYLK3
