Genes
LPCAT3
CEPT1
CDS1
PEMT
CDIPT
AGPAT2
CHAT
CHKA
MBOAT2
GPAT4
DGKK
GPAT2
DGKG
DGKQ
GPD1L
PLA2G15
PISD
GPD1
PLA2G4D
PLA2G2C
LCAT
PLA2G3
PCYT1A
PLA1A
PLA2G4A
PLD2
CRLS1
LPCAT2
PLAAT2
GPCPD1
AGPAT3
ADPRM
CHPT1
PCYT2
ETNPPL
PLA2G12A
GPAT3
DGKE
SELENOI
PLPP1
PLPP2
DGKI
PCYT1B
PGS1
LPIN2
