Genes
CDIPT
IP6K3
DGKK
DGKG
DGKQ
PIKFYVE
PIP5K1C
IMPA2
INPP1
INPP4A
INPPL1
ITPKA
CALML5
PIK3C2A
PIK3C3
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PI4KA
PI4KB
PLCB2
PLCB4
PLCG1
PLCG2
BPNT2
PI4K2B
PIP4P2
PRKCG
MTMR14
IPPK
ITPKC
CALM3
PIP5K1B
PIK3R3
DGKE
SYNJ1
PLCZ1
MTMR6
MTMR7
MTMR4
DGKI
CALML4
