Transcript_ID	Taxon_ID
ENST00000000233	9606
ENST00000000412	9606
ENST00000000442	9606
ENST00000001008	9606
ENST00000001146	9606
ENST00000002125	9606
ENST00000002165	9606
ENST00000002501	9606
ENST00000002596	9606
ENST00000002829	9606
ENST00000003084	9606
ENST00000003100	9606
ENST00000003302	9606
ENST00000003583	9606
ENST00000003912	9606
ENST00000004103	9606
ENST00000004531	9606
ENST00000004982	9606
ENST00000005082	9606
ENST00000005178	9606
ENST00000005180	9606
ENST00000005226	9606
ENST00000005257	9606
ENST00000005259	9606
ENST00000005260	9606
ENST00000005284	9606
ENST00000005286	9606
ENST00000005340	9606
ENST00000005374	9606
ENST00000005386	9606
ENST00000005558	9606
ENST00000005756	9606
ENST00000005995	9606
ENST00000006015	9606
ENST00000006053	9606
ENST00000006251	9606
ENST00000006275	9606
ENST00000006658	9606
ENST00000006724	9606
ENST00000006750	9606
ENST00000006777	9606
ENST00000007264	9606
ENST00000007390	9606
ENST00000007414	9606
ENST00000007510	9606
ENST00000007516	9606
ENST00000007699	9606
ENST00000007708	9606
ENST00000007722	9606
ENST00000007735	9606
ENST00000007969	9606
ENST00000008180	9606
ENST00000008391	9606
ENST00000008440	9606
ENST00000008527	9606
ENST00000008938	9606
ENST00000009041	9606
ENST00000009105	9606
ENST00000009180	9606
ENST00000009530	9606
ENST00000009589	9606
ENST00000010132	9606
ENST00000010299	9606
ENST00000010404	9606
ENST00000011292	9606
ENST00000011473	9606
ENST00000011619	9606
ENST00000011653	9606
ENST00000011684	9606
ENST00000011691	9606
ENST00000011700	9606
ENST00000011898	9606
ENST00000011989	9606
ENST00000012049	9606
ENST00000012134	9606
ENST00000012443	9606
ENST00000013034	9606
ENST00000013070	9606
ENST00000013125	9606
ENST00000013222	9606
ENST00000013807	9606
ENST00000013894	9606
ENST00000014914	9606
ENST00000014930	9606
ENST00000014935	9606
ENST00000016171	9606
ENST00000016913	9606
ENST00000016946	9606
ENST00000017003	9606
ENST00000019019	9606
ENST00000019103	9606
ENST00000019317	9606
ENST00000020673	9606
ENST00000020926	9606
ENST00000020945	9606
ENST00000022615	9606
ENST00000023064	9606
ENST00000023897	9606
ENST00000023939	9606
ENST00000024061	9606
ENST00000025008	9606
ENST00000025301	9606
ENST00000025399	9606
ENST00000026218	9606
ENST00000027335	9606
ENST00000028008	9606
ENST00000029410	9606
ENST00000031146	9606
ENST00000033079	9606
ENST00000034275	9606
ENST00000035307	9606
ENST00000037243	9606
ENST00000037502	9606
ENST00000037869	9606
ENST00000038176	9606
ENST00000039007	9606
ENST00000039989	9606
ENST00000040584	9606
ENST00000040663	9606
ENST00000040738	9606
ENST00000040877	9606
ENST00000042381	9606
ENST00000042931	9606
ENST00000043402	9606
ENST00000044462	9606
ENST00000045083	9606
ENST00000045347	9606
ENST00000046087	9606
ENST00000046640	9606
ENST00000046794	9606
ENST00000052569	9606
ENST00000052754	9606
ENST00000053243	9606
ENST00000053468	9606
ENST00000053867	9606
ENST00000054650	9606
ENST00000054666	9606
ENST00000054668	9606
ENST00000054950	9606
ENST00000055077	9606
ENST00000055335	9606
ENST00000055682	9606
ENST00000056217	9606
ENST00000056233	9606
ENST00000057513	9606
ENST00000060969	9606
ENST00000061240	9606
ENST00000064571	9606
ENST00000064724	9606
ENST00000064778	9606
ENST00000064780	9606
ENST00000066544	9606
ENST00000070846	9606
