ARF5
M6PR
FKBP4
CYP26B1
NDUFAF7
FUCA2
HS3ST1
SEMA3F
CFTR
CYP51A1
USP28
SLC7A2
HSPB6
PDK4
USH1C
RALA
BAIAP2L1
CACNG3
TMEM132A
DVL2
RPAP3
PRSS21
HOXA11
CX3CL1
TRAPPC6A
SPATA20
CEACAM7
RHBDD2
TSR3
OSBPL7
YBX2
KRT33A
TFAP2D
CRY1
PGLYRP1
STARD3NL
CAMK1G
CD74
FAM76A
CPA1
SYPL1
RANBP9
CD4
TSPAN9
QPCTL
PPP5C
UBR7
MAP4K5
INMT
ERCC1
GPRC5A
HEBP1
COX15
MS4A12
RGPD5
XYLT2
SCTR
SYT13
SNAI2
SLC7A9
RTF2
RB1CC1
AKAP11
PIGQ
CDH17
B4GALT7
FAM13B
CHPF2
GABARAPL2
MYOC
OTC
TTC17
HOXC8
MRI1
BOD1L1
TARBP1
RTN4R
PSMA4
RIPOR3
ZPBP
LCP2
DCN
TNFRSF17
MRPS10
GRN
THAP3
VAMP3
UTS2
RCN1
RFC2
PPP1R3F
NEXMIF
ARHGEF5
NFE2L3
TLL1
CBLN4
CLDN11
FAM168A
RELT
PKP2
YIPF1
ADCK2
INPP4A
SLC2A3
STYK1
GNA11
CREB3L3
HDAC7
MRPS35
APPBP2
CA11
ISOC2
CD22
GSC2
ZFY
KCNQ1
TRPM5
TRIB2
OTUD5
GPKOW
AQR
ST6GALNAC1
LMCD1
PSMC4
FNDC8
ACAP1
DERL2
NOX3
ANO8
KDM4B
ICAM3
CTTNBP2
ACTL6B
KIF22
PRSS22
CEACAM1
YTHDC2
TMEM161A
FOXJ2
TNFRSF1A
GOLGA5
CELSR3
PPP2R5B
PYGM
BCL3
PIGB
PRLH
FSTL3
EPHA8
TRIP13
VASH1
KRT14
KRT20
SPP2
HSD17B10
FGF4
ST6GAL1
TIMM21
BPIFB2
REXO1
MKRN2
GPATCH1
P2RY10
TNS1
NGFR
NTN1
ISOC1
TRO
MNT
LAPTM4A
ADAM7
PTPN18
DRD4
SCT
STK10
TBX21
MRPS34
CA12
MAP2K5
TIGAR
FGF20
MTMR7
CPB2
FAM107B
CDK13
TSPAN32
TRAM2
ROPN1
NDUFB4
HEATR6
ERLEC1
CLIC5
TMEM131
TMEM38A
ACTR6
FAP
DMRT3
GAL3ST2
UHRF1BP1
OSTM1
IMPG2
SLC13A1
PCDHB4
PCDHB2
HSPB11
STRADB
PLOD1
OXCT1
ZNF416
FAM234B
PILRA
RRN3
MOGAT2
AQP2
DIMT1
