"User_input","STRINGdb ID","Species"
"Q4CLV7","XP_802705.1","Trypanosoma cruzi STRINGdb"
"Q4CLW0","XP_802708.1","Trypanosoma cruzi STRINGdb"
"Q4CLW1","XP_802709.1","Trypanosoma cruzi STRINGdb"
"Q4CLW4","XP_802712.1","Trypanosoma cruzi STRINGdb"
"Q4CLZ5","XP_802744.1","Trypanosoma cruzi STRINGdb"
"Q4CLZ6","XP_802743.1","Trypanosoma cruzi STRINGdb"
"Q4CM03","XP_802751.1","Trypanosoma cruzi STRINGdb"
"Q4CM04","XP_802752.1","Trypanosoma cruzi STRINGdb"
"Q4CM26","XP_802774.1","Trypanosoma cruzi STRINGdb"
"Q4CM40","XP_802788.1","Trypanosoma cruzi STRINGdb"
"Q4CM43","XP_802791.1","Trypanosoma cruzi STRINGdb"
"Q4CM69","XP_802817.1","Trypanosoma cruzi STRINGdb"
"Q4CM82","XP_802830.1","Trypanosoma cruzi STRINGdb"
"Q4CM85","XP_802833.1","Trypanosoma cruzi STRINGdb"
"Q4CM90","XP_802838.1","Trypanosoma cruzi STRINGdb"
"Q4CM91","XP_802839.1","Trypanosoma cruzi STRINGdb"
"Q4CM97","XP_802845.1","Trypanosoma cruzi STRINGdb"
"Q4CMA0","XP_802848.1","Trypanosoma cruzi STRINGdb"
"Q4CMA1","XP_802849.1","Trypanosoma cruzi STRINGdb"
"Q4CMA5","XP_802853.1","Trypanosoma cruzi STRINGdb"
"Q4CMA9","XP_802857.1","Trypanosoma cruzi STRINGdb"
"Q4CMB3","XP_802861.1","Trypanosoma cruzi STRINGdb"
"Q4CMC2","XP_802870.1","Trypanosoma cruzi STRINGdb"
"Q4CMC3","XP_802872.1","Trypanosoma cruzi STRINGdb"
"Q4CMC4","XP_802871.1","Trypanosoma cruzi STRINGdb"
"Q4CMD1","XP_802879.1","Trypanosoma cruzi STRINGdb"
"Q4CMD2","XP_802880.1","Trypanosoma cruzi STRINGdb"
"Q4CMD3","XP_802881.1","Trypanosoma cruzi STRINGdb"
"Q4CMD9","XP_802887.1","Trypanosoma cruzi STRINGdb"
"Q4CME0","XP_802888.1","Trypanosoma cruzi STRINGdb"
"Q4CMF4","XP_802902.1","Trypanosoma cruzi STRINGdb"
"Q4CMG1","XP_802909.1","Trypanosoma cruzi STRINGdb"
"Q4CMG7","XP_802915.1","Trypanosoma cruzi STRINGdb"
"Q4CMI5","XP_802933.1","Trypanosoma cruzi STRINGdb"
"Q4CML1","XP_802959.1","Trypanosoma cruzi STRINGdb"
"Q4CMM1","XP_802969.1","Trypanosoma cruzi STRINGdb"
"Q4CMN6","XP_802984.1","Trypanosoma cruzi STRINGdb"
"Q4CMN7","XP_802985.1","Trypanosoma cruzi STRINGdb"
"Q4CMP3","XP_802991.1","Trypanosoma cruzi STRINGdb"
"Q4CMP4","XP_802992.1","Trypanosoma cruzi STRINGdb"
"Q4CMQ1","XP_802999.1","Trypanosoma cruzi STRINGdb"
"Q4CMQ2","XP_803000.1","Trypanosoma cruzi STRINGdb"
"Q4CMR9","XP_803017.1","Trypanosoma cruzi STRINGdb"
"Q4CMS0","XP_803018.1","Trypanosoma cruzi STRINGdb"
"Q4CMT1","XP_803029.1","Trypanosoma cruzi STRINGdb"
"Q4CMU1","XP_803040.1","Trypanosoma cruzi STRINGdb"
"Q4CMU2","XP_803039.1","Trypanosoma cruzi STRINGdb"
"Q4CMW7","XP_803065.1","Trypanosoma cruzi STRINGdb"
"Q4CN01","XP_803099.1","Trypanosoma cruzi STRINGdb"
"Q4CN03","XP_803101.1","Trypanosoma cruzi STRINGdb"
"Q4CN08","XP_803106.1","Trypanosoma cruzi STRINGdb"
"Q4CN16","XP_803114.1","Trypanosoma cruzi STRINGdb"
"Q4CN24","XP_803122.1","Trypanosoma cruzi STRINGdb"
"Q4CN25","XP_803123.1","Trypanosoma cruzi STRINGdb"
"Q4CN29","XP_803127.1","Trypanosoma cruzi STRINGdb"
"Q4CN34","XP_803132.1","Trypanosoma cruzi STRINGdb"
"Q4CN35","XP_803134.1","Trypanosoma cruzi STRINGdb"
"Q4CN36","XP_803133.1","Trypanosoma cruzi STRINGdb"
"Q4CN59","XP_803157.1","Trypanosoma cruzi STRINGdb"
"Q4CN73","XP_803172.1","Trypanosoma cruzi STRINGdb"
"Q4CN76","XP_803174.1","Trypanosoma cruzi STRINGdb"
"Q4CN77","XP_803175.1","Trypanosoma cruzi STRINGdb"
"Q4CN79","XP_803177.1","Trypanosoma cruzi STRINGdb"
"Q4CN93","XP_803190.1","Trypanosoma cruzi STRINGdb"
"Q4CN94","XP_803192.1","Trypanosoma cruzi STRINGdb"
