"User_input","STRINGdb ID","Species"
"Q4CLH4","Q4CLH4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLJ3","Q4CLJ3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLM4","Q4CLM4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLM9","Q4CLM9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLN0","Q4CLN0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLP0","Q4CLP0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLP4","Q4CLP4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLR0","Q4CLR0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLR5","Q4CLR5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLR6","Q4CLR6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLT2","Q4CLT2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLT5","Q4CLT5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLT7","Q4CLT7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLU3","Q4CLU3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLV7","Q4CLV7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLW0","Q4CLW0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLW1","Q4CLW1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLW4","Q4CLW4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLZ5","Q4CLZ5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CLZ6","Q4CLZ6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM03","Q4CM03","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM04","Q4CM04","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM26","Q4CM26","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM40","Q4CM40","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM43","Q4CM43","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM69","Q4CM69","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM82","Q4CM82","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM85","Q4CM85","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM90","Q4CM90","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM91","Q4CM91","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CM97","Q4CM97","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMA0","Q4CMA0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMA1","Q4CMA1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMA5","Q4CMA5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMA9","Q4CMA9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMB3","Q4CMB3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMC2","Q4CMC2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMC3","Q4CMC3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMC4","Q4CMC4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMD1","Q4CMD1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMD2","Q4CMD2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMD3","Q4CMD3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMD9","Q4CMD9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CME0","Q4CME0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMF4","Q4CMF4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMG1","Q4CMG1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMG7","Q4CMG7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMI5","Q4CMI5","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CML1","Q4CML1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMM1","Q4CMM1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMN6","Q4CMN6","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMN7","Q4CMN7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMP3","Q4CMP3","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMP4","Q4CMP4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMQ1","Q4CMQ1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMQ2","Q4CMQ2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMR9","Q4CMR9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMS0","Q4CMS0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMT1","Q4CMT1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMU1","Q4CMU1","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMU2","Q4CMU2","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CMW7","Q4CMW7","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN01","Q4CN01","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN03","Q4CN03","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN08","Q4CN08","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN16","Q4CN16","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CN24","Q4CN24","Trypanosoma cruzi strain CL Brener STRINGdb"
